id,listId,shortId,label,poiType,lon,lat,addedAt
1,2,r20692897,Davle,"Climbing Area",14.3955659866333,49.8894090450629,2026-06-07T21:04:49.530Z
2,1,r20692897,Davle,"Climbing Area",14.3955675,49.8893992,2026-06-07T21:06:06.889Z
3,1,r17130099,"Roviště","Lezecká oblast",14.2556405067444,49.6609750890127,2026-06-07T21:09:00.792Z
4,3,n11570960576,"Odpadlík","Lezecká cesta (začátek)",14.2564348,49.6605083,2026-06-07T22:15:28.828Z
6,5,r20947972,"Yzeron Bouldering","Zone de grimpe",4.60052490234375,45.7098953698527,2026-06-15T09:09:23.311Z
8,6,n11557711631,"Holky z Velký","Lezecká cesta (začátek)",14.2523691,49.6539389,2026-06-16T16:31:59.189Z
9,4,n13954944927,"SZ hrana","Lezecká cesta (začátek)",14.5081698,50.59216,2026-06-21T05:51:36.062Z
10,5,r20740456,"Yzeron - Historique","Zone de grimpe",4.6016138792038,45.7031897557779,2026-06-21T07:43:36.480Z
11,1,r21059840,"Grünreuther Wand","Lezecký sektor/skála",11.5486838,49.5904584,2026-07-03T10:59:29.833Z
12,1,r21059918,"Plecher Wand","climbing group",11.461615562439,49.6465970778767,2026-07-03T12:48:14.205Z
